Paper_ID,Assigned_to,Title,Lead_author,Year,Journal,Time_of_Year,Spatial_scale,Country,Continent,Taxonomic_scope,Species,Taxonomic_group,Quarry_Species,Comparison,Disturbance_Type,Disturbance_Specific,Response_Type,Response_Specific,Effect,FID_Distance,Synopsis,Notes,Paper_Retained
D069,Luke,Light Goose Conservation Order Effects on Nontarget Waterfowl Behavior and Energy Expenditure,"Dinges, AJ.",2016,Wildlife Society Bulletin,,,,,,,,,,,,,,,,,,
D070,Luke,Effects of the Light Goose Conservation Order on non-target waterfowl distribution during spring migration,"Dinges, AJ.",2015,Wildlife Biology,,,,,,,,,,,,,,,,,,
D071,Luke,Mallard Response to Experimental Walk-In and Shooting Disturbance,"Dooley, JL.",2010,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,
D072,Luke,"Long-term changes in agricultural practices and wildfowling in an internationally important wetland, and their effects on the guild of wintering ducks","Duncan, P.",1999,Journal of Applied Ecology,,,,,,,,,,,,,,,,,,
D073,Luke,"Time allocation by greater white-fronted geese - influence of diet, energy reserves and predation","Ely, CR.",1992,Condor,,,,,,,,,,,,,,,,,,
D074,Liam,A novel methodology for the rapid assessment of waterbird vulnerability to disturbance,England KJH.,2015,Ostrich,,,,,,,,,,,,,,,,,,
D075,Luke,Hunting disturbance on a large shallow lake: the effectiveness of waterfowl refuges,"Evans, DM.",2002,Ibis,,,,,,,,,,,,,,,,,,
D076,Luke,"Does shooting disturbance affect diving ducks wintering on large shallow lakes? A case study on Lough Neagh, Northern Ireland","Evans, DM.",2001,Biological Conservation,,,,,,,,,,,,,,,,,,
D077,Luke,Effect of a spring hunt on nutrient storage by greater snow geese in southern Quebec,"Feret, M.",2003,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,
D078,Luke,Responses of Eurasian woodcock Scolopax rusticola to simulated hunting disturbance,"Ferrand, Y.",2013,Wildlife Biology,,,,,,,,,,,,,,,,,,
D079,Luke,Determinants of preferred intertidal feeding habitat for Eastern Curlew: A study at two spatial scales,"Finn, PG.",2007,Austral Ecology,,,,,,,,,,,,,,,,,,
D080,Luke,Effects of recreational disturbance on the foraging behaviour of waders on a rocky beach,"Fitzpatrick, S.",1998,Bird Study,,,,,,,,,,,,,,,,,,
D081,Luke,Movements of flightless Long-tailed Ducks during wing molt,"Flint, PL.",2004,Waterbirds,,,,,,,,,,,,,,,,,,
D082,Luke,Food-supply and the effects of recreational disturbance on the abundance and distribution of wintering pochard on a gravel-pit complex in southern Britain,"Fox, AD.",1994,Hydrobiologia,,,,,,,,,,,,,,,,,,
D083,Luke,Species-specific habitat use of wing-moulting waterbirds in response to temporary flightlessness,"Gerhold, A.",2014,Ibis,,,,,,,,,,,,,,,,,,
D084,Luke,Disturbance Caused by Aerial Waterfowl Surveys During the Nonbreeding Season,Gilbert AD.,2020,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,
D085,Luke,The effects of disturbance on habitat use by black-tailed godwits Limosa limosa,"Gill, JA.",2001,Journal of Applied Ecology,,,,,,,,,,,,,,,,,,
D086,Luke,Roost fidelity of pink-footed geese Anser brachyrhynchus in north-east Scotland,"Giroux, JF.",1991,Bird Study,,,,,,,,,,,,,,,,,,
D087,Luke,Up the creek with a paddle; avian flight distances from canoes versus walkers,"Glover, HK.",2015,Wetlands Ecology and Management,,,,,,,,,,,,,,,,,,
D088,Luke,Disturbance does not have a significant impact on waders in an estuary close to conurbations: importance of overlap between birds and people in time and space,"Goss-Custard, JD.",2020,Ibis,,,,,,,,,,,,,,,,,,
D089,Luke,Evaluating tradeoffs between sanctuary for migrating waterbirds and recreational opportunities in a restored wetland complex,"Hagy, HM.",2017,Hydrobiologia,,,,,,,,,,,,,,,,,,
D090,Luke,Impacts of human activities on diversity of wintering waterbirds: Assessment in Mediterranean coastal area,"Hamza, F.",2020,Ocean & Coastal Management,,,,,,,,,,,,,,,,,,
D091,Luke,Species richness patterns of waterbirds wintering in the gulf of Gabes in relation to habitat and anthropogenic features,"Hamza, F.",2015,"Estuarine, Coastal and Shelf Science",,,,,,,,,,,,,,,,,,
D092,Aimee,"Habitat features and human presence as predictors of the abundance of shorebirds and wading birds wintering in the Gulf of Gabes, Tunisia","Hamza, F.",2015,MEPS,,,,,,,,,,,,,,,,,,
D093,Aimee,Effects of multiple targeted repelling measures on the behaviour of individually tracked birds in an area of increasing human-wildlife conflict,"Heim, W.",2022,Journal of Applied Ecology,,,,,,,,,,,,,,,,,,
D094,Aimee,Factors Influencing a 24-Hour Time-Budget for Wintering Atlantic Brant,"Heise, JR.",2019,Journal of Fish and Wildlife Management,,,,,,,,,,,,,,,,,,
D095,Aimee,Comparing behavioural responses of Greylag Geese Anser anser and Egyptian Geese Alopochen aegyptiaca to human disturbance in an urban setting,"Hohmann, R.",2021,Wildfowl,,,,,,,,,,,,,,,,,,
D096,Aimee,Habitat use and activity patterns of Mute Swans at a molting and a wintering site in Denmark,"Holm, TE.",2002,Waterbirds,,,,,,,,,,,,,,,,,,
D097,Aimee,The feeding ecology and distribution of Common Coots Fulica atra are affected by hunting taking place in adjacent areas,"Holm, TE.",2011,Bird Study,,,,,,,,,,,,,,,,,,
D098,Aimee,Endogenous reserve dynamics of northern common eiders wintering in Greenland,"Jamieson, SE.",2006,Polar Biology,,,,,,,,,,,,,,,,,,
D099,Aimee,Behavioural responses of non-breeding waterbirds to marine traffic in the near-shore environment,"Jarrett, D.",2021,Bird Study,,,,,,,,,,,,,,,,,,
D100,Aimee,Hunting migratory geese: is there an optimal practice?,"Jensen, GH.",2016,Wildlife Biology,,,,,,,,,,,,,,,,,,
D101,Aimee,Environmental factors affecting numbers of pink-footed geese Anser brachyrhynchus utilising an autumn stopover site,"Jensen, GH.",2016,Wildlife Biology,,,,,,,,,,,,,,,,,,
D102,Aimee,Factors affecting escape behaviour in moulting Greylag Geese Anser anser,"Kahlert, J.",2006,Journal of Ornithology,,,,,,,,,,,,,,,,,,
D103,Aimee,Effects of feeding patterns on body mass loss in moulting Greylag Geese Anser anser,"Kahlert, J.",2006,Bird Study,,,,,,,,,,,,,,,,,,
D104,Aimee,Modelling behavioural and fitness consequences of disturbance for geese along their spring flyway,"Klaassen, M.",2006,Journal of Applied Ecology,,,,,,,,,,,,,,,,,,
D105,Aimee,Effects of ecotourism on distribution of waterbirds in a wildlife refuge,"Klein, ML.",1995,Conservation Biology,,,,,,,,,,,,,,,,,,
D106,Aimee,"Human disturbance of diving ducks on Long Point Bay, Lake Erie","Knapton, RW.",2000,Wildlife Society Bulletin,,,,,,,,,,,,,,,,,,
D107,Aimee,Assessing Anthropogenic Disturbances to Develop Buffer Zones for Shorebirds Using a Stopover Site,"Koch, SL.",2014,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,
D108,Aimee,Responses of wintering geese to the designation of goose foraging areas in The Netherlands,"Koffijberg, K.",2017,Ambio,,,,,,,,,,,,,,,,,,
D109,Aimee,Temporal and spatial variation in bird and human use of beaches in southern Californial,"Lafferty, KD.",2013,SpringerPlus,,,,,,,,,,,,,,,,,,
D110,Aimee,Hunting from motorboats displaces Wadden Sea eiders Somateria mollissima from their favoured feeding distribution,"Laursen, K.",2008,Wildlife Biology,,,,,,,,,,,,,,,,,,
D111,Aimee,Countrywide screening of spatiotemporal overlap between coastal and marine recreation and waterbirds in Denmark,"Laursen, K.",2021,Journal of Outdoor Recreation and Tourism,,,,,,,,,,,,,,,,,,
