Paper_ID,Assigned_to,Title,Lead_author,Year,Journal,Time_of_Year,Spatial_scale,Country,Continent,Taxonomic_scope,Species,Taxonomic_group,Quarry_Species,Comparison,Disturbance_Type,Disturbance_Specific,Response_Type,Response_Specific,Effect,FID_Distance,Synopsis,Notes,Paper_Retained
D148,Liam,Status of aquatic and riparian biodiversity in artificial lake ecosystems with and without management for recreational fisheries: Implications for conservation,"Nikolaus, R.",2021,Aquatic Conservation - Marine and Freshwater Ecosystems,,,,,,,,,,,,,,,,,,
D149,Liam,Scaring waterfowl as a management tool: how much more do geese forage after disturbance?,"Nolet, BA.",2016,Journal of Applied Ecology,,,,,,,,,,,,,,,,,,
D150,Liam,Bird assemblages as bio-indicators of water regime management and hunting disturbance in natural wet grasslands,"Paillisson, JM.",2002,Biological Conservation,,,,,,,,,,,,,,,,,,
D151,Liam,Impact of human disturbance on the abundance of non-breeding shorebirds in a subtropical wetland,"Palacios, E.",2022,Biotropica,,,,,,,,,,,,,,,,,,
D152,Liam,Mallard resource selection trade-offs in a heterogeneous environment during autumn and winter,"Palumbo, MD.",2019,Ecology and Evolution,,,,,,,,,,,,,,,,,,
D153,Liam,Spring snow goose hunting influences body composition of waterfowl staging in Nebraska,"Pearse, AT.",2012,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,
D154,Liam,Effects of human disturbances on the behavior of wintering ducks,"Pease, ML.",2005,Wildlife Society Bulletin,,,,,,,,,,,,,,,,,,
D155,Liam,Using movement ecology to evaluate the effectiveness of multiple human-wildlife conflict management practices,"Pekarsky, S.",2021,Biological Conservation,,,,,,,,,,,,,,,,,,
D156,Liam,"The effects of reseeing, fertilizer application and disturbance on the use of grasslands by barnacle geese, and the implications for refuge management","Percival, SM. ",1993,Journal of Applied Ecology,,,,,,,,,,,,,,,,,,
D157,Liam,"Managing the distribution of barnacle geese on Islay, Scotland, through deliberate human disturbance","Percival, SM. ",1997,Biological Conservation,,,,,,,,,,,,,,,,,,
D158,Liam,Using the risk-disturbance hypothesis to assess the relative effects of human disturbance and predation risk on foraging American oystercatchers,"Peters, KA.",2005,Condor,,,,,,,,,,,,,,,,,,
D159,Liam,"Effects of human activities on migratory waterbirds at Lashihai Lake, China","Quan, RC",2002,Biological Conservation,,,,,,,,,,,,,,,,,,
D160,Liam,The Effects of Disturbance on the Abundance and Foraging Behaviour of Shorebirds and Waterbirds in the Tropical Mudflat Areas,"Ramli, R.",2017,Sains Malaysiana,,,,,,,,,,,,,,,,,,
