Paper_ID,Assigned_to,Title,Lead_author,Year,Journal,Time_of_year,Spatial scale,Country,Continent,Taxonomic_scope,Species,Taxonomic_group,Quarry Species,Offtake_type,Hunting_regime,Population Model,Comparison,Demographic_impact,Demographic_data_used,Harvest_data_used,Hunting_characteristics,Hunting_bias,Effect,Synopsis,Hunter_skill,Skill_consequence,Notes
M148,Liam,Seasonal Survival of Adult Female Mottled Ducks,"Moon, JA.",2017,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M149,Liam,Effect of body condition on vulnerability of greater snow geese to hunting and capture,"Morez, V.",2000,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M150,Liam,"Winter survival of female American Black Ducks in Tennessee, USA","Newcomb, KC.",2016,Condor,,,,,,,,,,,,,,,,,,,,,,
M151,Liam,Incidence of embedded shotgun pellets in Bewick's swans Cygnus columbianus bewickii and whooper swans Cygnus cygnus wintering in the UK,"Newth, JL.",2011,Biological Conservation,,,,,,,,,,,,,,,,,,,,,,
M152,Liam,"Annual survival and site fidelity of northern pintails banded on the Yukon-Kuskokwim Delta, Alaska","Nicolai, CA.",2005,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M153,Liam,Mate loss affects survival but not breeding in black brant geese,"Nicolai, CA.",2012,Behavioural Ecology,,,,,,,,,,,,,,,,,,,,,,
M154,Liam,Shotgun pellet loads and infliction rates in pink-footed geese Anser brachyrhynchus,"Noer, H.",1996,Wildlife Biology,,,,,,,,,,,,,,,,,,,,,,
M155,Liam,Reducing wounding of game by shotgun hunting: effects of a Danish action plan on pink-footed geese,"Noer, H.",2007,Journal of Applied Ecology,,,,,,,,,,,,,,,,,,,,,,
M156,Liam,Direct recovery rates of lesser scaup banded in northwest Minnesota: Sources of heterogeneity,"Pace, RM.",1999,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M157,Liam,Survival of juvenile American black ducks on a managed wetland in New Brunswick,"Parker, GR.",1991,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M158,Liam,Population and Harvest Dynamics of Midcontinent Sandhill Cranes,"Pearse, AT.",2020,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M159,Liam,Factors Influencing Survival of Canada Geese Breeding in Southern Quebec,"Pilotte, C.",2014,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M160,Aimée,Declining winter survival and fitness implications associated with latitudinal distribution in Norwegian Greylag Geese Anser anser,"Pistorius, PA.",2006,Ibis,,,,,,,,,,,,,,,,,,,,,,
M161,Aimée,Band return models - use of solicited bands and separation of hunting and natural mortality,"Pollock, KH.",1994,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M162,Aimée,"The importance of hunting pressure, habitat preference and life history for population trends of breeding waterbirds in Finland","Poysa, H.",2013,European Journal of Wildlife Research,,,,,,,,,,,,,,,,,,,,,,
M163,Aimée,"Drivers of breeding numbers in a long-distance migrant, the Garganey (Anas querquedula): effects of climate and hunting pressure","Poysa, H.",2014,Journal of Ornithology,,,,,,,,,,,,,,,,,,,,,,
M164,Aimée,"Survival of Cackling Canada Geese, 1982-1988","Raveling, DC.",1992,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M165,Aimée,Band reporting rates of mallards in the Mississippi alluvial valley,"Reinecke, KJ.",1992,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M166,Aimée,Effect of hunting on annual survival of Canada geese in Utah,"Rexstad, EA.",1992,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M167,Aimée,Lack of sex-selectivity in harvest of mallards under the point system,"Rexstad, EA.",1991,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M168,Aimée,Density-dependence produces spurious relationships among demographic parameters in a harvested species,"Riecke, TV.",2022,Journal of Animal Ecology,,,,,,,,,,,,,,,,,,,,,,
M169,Aimée,Band recovery and recapture rates of american black ducks and mallards,"Robb, JR.",2002,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M170,Aimée,An Integrated Population Model for Harvest Management of Atlantic Brant,"Roberts, AJ.",2021,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M171,Aimée,Spatial and temporal variation in harvest probabilities for American black duck,"Roy, C.",2015,Ecology and Evolution,,,,,,,,,,,,,,,,,,,,,,
M172,Aimée,A Demographic model for ring-necked ducks breeding in minnesota,"Roy, CL.",2019,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M173,Aimée,Mortality and refuge use by young ring-necked ducks before and during hunting season in north-central Minnesota,"Roy, CL.",2013,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M174,Aimée,Demographics of Canada Geese Introduced in Western Colorado,"Sanders, TA.",2014,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M175,Aimée,"Survival of greater white-fronted geese: Effects of year, season, sex, and body condition","Schmutz, JA.",1999,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M176,Aimée,Genetic methods for determining racial composition of Canada goose harvests,"Scribner, KT.",2003,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M177,Aimée,The black brant population is declining based on mark recapture,"Sedinger, JS.",2019,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M178,Aimée,"Population trends, productivity, and harvest of eastern population Tundra Swans","Serie, JR.",2002,Waterbirds,,,,,,,,,,,,,,,,,,,,,,
M179,Aimée,Survival Rates and Harvest Patterns of Ohio-Banded Canada Geese,"Shirkey, BT.",2018,Wildlife Society Bulletin,,,,,,,,,,,,,,,,,,,,,,
M180,Aimée,Hierarchical Bayesian integrated model for estimating migratory bird harvest in Canada,"Smith, AC.",2022,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M181,Aimée,A model for the management of the invasive ruddy duck to reduce interbreeding pressure on the white-headed duck,"Smith, GC.",2007,International Journal of Pest Management,,,,,,,,,,,,,,,,,,,,,,
M182,Aimée,A model of ruddy duck Oxyura jamaicensis eradication for the UK,"Smith, GC.",2005,Journal of Applied Ecology,,,,,,,,,,,,,,,,,,,,,,
M183,Aimée,"Hunting and mallard survival, 1979-88","Smith, GW.",1992,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M184,Aimée,Variations in band reporting rate and implications for kill rate in Greater Snow Geese,"Souchay, G.",2014,Avian Conservation and Ecology,,,,,,,,,,,,,,,,,,,,,,
M185,Aimée,Investigating Rates of Hunting and Survival in Declining European Lapwing Populations,"Souchay, G.",2016,PLoS One,,,,,,,,,,,,,,,,,,,,,,
M186,Aimée,Effects of hunting pressure and collection method bias on body mass of drake mallards,"Syzmanski, ML.",2013,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M187,Aimée,Negative impacts of hunting and suction-dredging on otherwise high and stable survival rates in Curlew Numenius arquata,"Taylor, RC.",2013,Bird Study,,,,,,,,,,,,,,,,,,,,,,
M188,Aimée,Improving use of morphometric discrimination to identify Canada goose subspecies,"Thompson, JE.",1999,Wildlife Society Bulletin,,,,,,,,,,,,,,,,,,,,,,
M189,Aimée,"Survival and mortality of green-winged teal banded on the Yukon-Kuskokwim Delta, Alaska","Thompson, JM.",2022,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M190,Aimée,Consequences of past and present harvest management in a declining flyway population of common eiders Somateria mollissima,"Tjornlov, RS.",2019,Ecology and Evolution,,,,,,,,,,,,,,,,,,,,,,
M191,Aimée,Population control by means of organised hunting effort: Experiences from a voluntary goose hunting arrangement,"Tombre, IM.",2022,Ambio,,,,,,,,,,,,,,,,,,,,,,
M192,Aimée,Comparative survival and recovery of Ross's and lesser snow geese from Canada's central arctic,"Traylor, JJ.",2012,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M193,Aimée,"Management of a Dutch resident barnacle goose Branta leucopsis population: How can results from counts, ringing and hunting bag statistics be reconciled?","van der Jeugd, HP.",2017,Ambio,,,,,,,,,,,,,,,,,,,,,,
M194,Aimée,"Annual and seasonal survival of adult female Mottled Ducks in southern Florida, USA","Varner, DM.",2014,Condor,,,,,,,,,,,,,,,,,,,,,,
M195,Aimée,Uncertainty and the adaptive management of waterfowl harvests,"Williams, BK.",1996,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M196,Aimée,"Mallard survival, movements, and habitat use during autumn in Illinois","Yetter, AP.",2018,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
M197,Aimée,"The non-linear, interactive effects of population density and climate drive the geographical patterns of waterfowl survival","Zhao, Q.",2018,Biological Conservation,,,,,,,,,,,,,,,,,,,,,,
M198,Aimée,"Seasonal and annual variation in body weight, nutrient stores and mortality of Oystercatchers Haematopus ostralegus","Zwarts, L.",1996,Ardea,,,,,,,,,,,,,,,,,,,,,,
